Bidder number,Forename,Surname,Area code,Telephone number,Address,Address,Address,Zip code
1,Kratika,Gupta,5551,275236,14 Main Street,Grovecourt,Eccleshill,4303
2,Didier,Watson,5552,245975,Manley Hall,Manley,Eccleshill,4303
3,Olga,Schneider,5553,128835,56 Green Lane,,Littleton,4254
4,Peter,Perfection,5554,168431,14 Green Lane,,Littleton,4254
5,Tomas,Jacobs,5555,179542,15 Cavendish Avenue,,Littleton,4254
6,Elliot,Cotterill,5556,115145,1 Waterloo Road,,Littleton,4254
7,Siddharth,Gad,5557,193140,35 Dilbridge Road,Dockside,Port Peppard,4302
8,Holly,Chase,5558,193503,36 Dilbridge Road,Dockside,Port Peppard,4302
9,Peter,Kelly,5559,277615,46 Dilbridge Road,Dockside,Port Peppard,4302
10,Pat,Pushing,5560,186911,40 Dilbridge Road,Dockside,Port Peppard,4302
11,Louis,Claes,5561,236107,40 Dilbridge Road,Dockside,Port Peppard,4302
12,Kratika,Dhiman,5562,249212,40 Dilbridge Road,Dockside,Port Peppard,4302
13,Lydia,Blenkinsop,5563,183156,41 Dilbridge Road,Dockside,Port Peppard,4302
14,Fatima,Hegde,5564,226362,42 Dilbridge Road,Dockside,Port Peppard,4302
15,Friederike,Trommler,5565,185486,46 Dilbridge Road,Dockside,Port Peppard,4302
16,Friedhelm,Beyer,5566,135855,44 Dilbridge Road,Dockside,Port Peppard,4302
17,Evert,Bayer,5567,153518,40 Dilbridge Road,Dockside,Port Peppard,4302
18,Pilar,Pagan,5568,224490,46 Dilbridge Road,Dockside,Port Peppard,4302
19,Nikos,Nicolaides,5569,175856,46 Dilbridge Road,Dockside,Port Peppard,4302
20,Suzanne,Miller,5570,170083,40 Dilbridge Road,Dockside,Port Peppard,4302
21,Toni,Fernandez,5571,139252,12 Surfers Lodge,,Stannerley,4297
22,Jeremy,Pinoir,5572,225769,3 Surfers Lodge,,Stannerley,4297
23,Pablo,Garrido,5573,290136,14 Surfers Lodge,,Stannerley,4297
24,Holly,Jenkinson,5574,100788,15 Surfers Lodge,,Stannerley,4297
25,Eugenio,Lopez,5575,138457,16 Surfers Lodge,,Stannerley,4297
26,Dawid,Jones,5576,175394,17 Surfers Lodge,,Stannerley,4297
27,Oral,Strauss,5577,175401,8 Surfers Lodge,,Stannerley,4297
28,Gunther,Schmitt,5578,245046,35 Surfers Lodge,,Stannerley,4297
29,Gerhardt,Weissmuller,5579,179139,20 Surfers Lodge,,Stannerley,4297
30,Karl,Roth,5580,299395,21 Surfers Lodge,,Stannerley,4297
31,Maria,Schiffer,5581,273282,22 Surfers Lodge,,Stannerley,4297
32,Jim,Roberts,5582,230066,1 Surfers Lodge,,Stannerley,4297
33,Michael,Royle,5583,291298,24 Surfers Lodge,,Stannerley,4297
34,Victor,Castro,5584,106540,25 Surfers Lodge,,Stannerley,4297
35,Traugott,Wexler,5585,110583,45 Surfers Lodge,,Stannerley,4297
36,Rafael,Lopez,5586,236098,27 Surfers Lodge,,Stannerley,4297
37,Juan,Suarez,5587,226673,73 Letsby Avenue,Blacklane End,Tawara,4308
38,Sharon,Jolley,5588,148012,2 High Street,Blacklane End,Tawara,4308
39,Teresa,Lopez,5589,152747,Cobblers Corner,Blacklane End,Tawara,4308
40,Karthilene,Platt,5590,263497,14 Vampion Road,Blacklane End,Tawara,4308
