Given name,Family name,Email,Employment number,Payroll number,Pay scale,Branch code,Branch,Pay
Evie,Barber,Evie.Barber@tawara.com,2914,,C3,32,Antwerp,
Aurturo,Conseca,Aurturo.Conseca@tawara.com,4300,,B1,32,Antwerp,
Freddie,Doyle,Freddie.Doyle@tawara.com,3660,,B9,32,Antwerp,
Hollie,Harrison,Hollie.Harrison@tawara.com,3200,,B5,32,Antwerp,
Georgia,Henry,Georgia.Henry@tawara.com,2805,,B1,32,Antwerp,
Jade,Hobbs,Jade.Hobbs@tawara.com,7630,,A1,32,Antwerp,
Charlotte,Hyde,Charlotte.Hyde@tawara.com,4571,,C2,32,Antwerp,
Eve,Kelly,Eve.Kelly@tawara.com,5120,,C1,32,Antwerp,
Aaliyah,Kennedy,Aaliyah.Kennedy@tawara.com,7570,,A1,32,Antwerp,
Joel,Knight,Joel.Knight@tawara.com,9875,,E1,32,Antwerp,
Rhys,Manning,Rhys.Manning@tawara.com,4450,,B2,32,Antwerp,
Tilly,Pollard,Tilly.Pollard@tawara.com,7631,,B7,32,Antwerp,
Bailey,Poole,Bailey.Poole@tawara.com,4515,,B2,32,Antwerp,
Madison,Schofield,Madison.Schofield@tawara.com,4860,,M4,32,Antwerp,
Tyler,Skinner,Tyler.Skinner@tawara.com,4690,,B2,32,Antwerp,
Yasmin,Talbot,Yasmin.Talbot@tawara.com,5060,,B2,32,Antwerp,
Luke,Vincent,Luke.Vincent@tawara.com,2400,,B4,32,Antwerp,
Ophelia,Baril,Ophelia.Baril@tawara.com,9700,,B2,33,Marseille,
Fitz,Boucher,Fitz.Boucher@tawara.com,4150,,B4,33,Marseille,
Amitee,Picard,Amitee.Picard@tawara.com,3840,,A3,33,Marseille,
Senapus,Berie,Senapus.Berie@tawara.com,2380,,A5,33,Marseille,
Fortun,Bilodeau,Fortun.Bilodeau@tawara.com,2150,,A8,33,Marseille,
Neville,Lazure,Neville.Lazure@tawara.com,7520,,D2,33,Marseille,
Lyle,Rousseau,Lyle.Rousseau@tawara.com,3720,,C7,33,Marseille,
Zdenek,Bertrand,Zdenek.Bertrand@tawara.com,9050,,A3,33,Marseille,
Perrin,Frappier,Perrin.Frappier@tawara.com,2440,,B9,33,Marseille,
Allyriane,Turcotte,Allyriane.Turcotte@tawara.com,3830,,D7,33,Marseille,
Roger,Manning,Roger.Manning@tawara.com,3250,,M2,33,Marseille,
Stéphanie,Grandbois,Stéphanie.Grandbois@tawara.com,3090,,D5,33,Marseille,
Roland,Paulet,Roland.Paulet@tawara.com,2910,,B4,33,Marseille,
Pierpont,Pichette,Pierpont.Pichette@tawara.com,2560,,B4,33,Marseille,
Manville,Fresne,Manville.Fresne@tawara.com,4795,,A9,33,Marseille,
Vedette,Huot,Vedette.Huot@tawara.com,4400,,A7,33,Marseille,
Lily,Barraza,Lily.Barraza@tawara.com,3880,,B7,351,Porto,
Day,Negrete,Day.Negrete@tawara.com,4570,,A6,351,Porto,
